City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Matara,LK,75.96,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
Xam Nua,LA,67.1,few clouds,20.4197,104.0439,Xee Wang Guesthouse
Inhambane,MZ,70.07,scattered clouds,-23.865,35.3833,Oceano
Bahia Honda,CU,75.79,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
Buckeye,US,73.0,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
Rio Grande,BR,71.01,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
Nagua,DO,73.83,clear sky,19.3832,-69.8474,Hotel Cambri
Katsuura,JP,64.99,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
Kutum,SD,72.86,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
Palembang,ID,75.2,broken clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
Oliveira,BR,68.2,overcast clouds,-20.6964,-44.8272,Hotel Vila Mineira | Oliveira MG
Port Augusta,AU,68.0,clear sky,-32.5,137.7667,Majestic Oasis Apartments
Acari,PE,73.18,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
Laguna,US,66.2,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
Niquelandia,BR,71.02,few clouds,-14.4739,-48.4597,Hotel Suinã
Conde,BR,75.2,overcast clouds,-7.2597,-34.9075,Pousada Beija Flor
Pimentel,PE,71.6,clear sky,-6.8367,-79.9342,Casona Del Muelle
Tucurui,BR,73.76,very heavy rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
Ishigaki,JP,69.8,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
Marsabit,KE,66.58,broken clouds,2.3284,37.9899,Chicho Hotel
San Rafael,AR,66.63,clear sky,-34.6177,-68.3301,Hotel San Rafael
Pericos,MX,71.6,scattered clouds,25.05,-107.7,CASA AARON CAMACHO VILLARREAL
Dafeng,CN,68.11,overcast clouds,23.4517,108.5881,Shenglong Hotel
Toowoomba,AU,75.2,clear sky,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
Jieshi,CN,66.99,clear sky,22.8134,115.8257,Yuehai Hotel
Ulladulla,AU,75.2,light rain,-35.35,150.4667,Sandpiper Motel
Ballitoville,ZA,71.01,overcast clouds,-29.539,31.2144,Hotel Fairmont Zimbali Resort
Ridgecrest,US,68.0,broken clouds,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
Cassilandia,BR,75.72,overcast clouds,-19.1133,-51.7342,Delirius Motel
Mbanza-Ngungu,CD,67.33,light rain,-5.25,14.8667,Hotel Full Business
Japura,ID,74.5,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
Te Anau,NZ,65.1,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
Curillo,CO,72.9,overcast clouds,1.0333,-75.9191,CASA CLUB
Porto Walter,BR,73.04,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
Bluffton,US,66.99,clear sky,32.2371,-80.8604,Holiday Inn Express & Suites Bluffton @ Hilton Head Area
Senador Jose Porfirio,BR,73.36,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
Shakawe,BW,68.56,scattered clouds,-18.3667,21.85,Ditlhapi Guest House
Longhua,CN,73.53,clear sky,23.6137,114.1919,Huadu Hotel
San Julian,MX,67.55,overcast clouds,21.0167,-102.1667,La Nueva España
Bam,IR,72.86,few clouds,29.105999999999998,58.357,Bam Tourist Hotel
Marataizes,BR,75.7,clear sky,-21.0433,-40.8244,Ed. Barra Shopping
Seguin,US,71.6,haze,29.5688,-97.9647,La Quinta Inn & Suites by Wyndham Seguin
Basco,PH,74.97,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
Penukonda,IN,72.61,scattered clouds,14.0833,77.5833,The Hotel Spider
Kaeo,NZ,75.0,few clouds,-35.1,173.7833,Bushido Lodge
Buta,CD,69.46,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
Teluk Nibung,ID,74.3,heavy intensity rain,3.0010000000000003,99.8164,Hotel Assyifa
Potam,MX,66.99,clear sky,27.6,-110.3833,Ejido La Pimienta
Nago,JP,71.6,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
High Rock,BS,73.4,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
Along,IN,70.18,scattered clouds,28.1667,94.7667,Hotel West
Altar,MX,66.99,clear sky,30.7,-111.8167,Hotel Maria Elena
Huarmey,PE,71.92,overcast clouds,-10.0681,-78.1522,Hotel Miramar
Necochea,AR,66.99,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
Ojinaga,MX,66.2,clear sky,29.5667,-104.4167,Suites Las Palmas
Laibin,CN,68.29,overcast clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
Paidha,UG,66.34,overcast clouds,2.4167,30.9855,OPIPAAF (OTHUMBA PITHUA PALWONGA )
San Martin,AR,75.2,broken clouds,-33.080999999999996,-68.4681,Club El Pelícano
Matadi,CD,73.87,overcast clouds,-5.8167,13.45,Hotel Fortune
Gushikawa,JP,71.6,clear sky,26.3544,127.8686,Kirari Guest House
Puerto Del Rosario,ES,69.8,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
Padilla,CO,73.4,few clouds,3.2204,-76.3139,La Granadina
Boma,GH,72.66,overcast clouds,7.0805,-2.1697,Obaatanpa Hotel
Tura,IN,74.57,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
Sur,OM,75.31,clear sky,22.5667,59.5289,Sur Plaza Hotel
Khorramshahr,IR,73.4,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
Los Llanos De Aridane,ES,64.4,clear sky,28.6585,-17.9182,Valle Aridane
Coxim,BR,75.13,overcast clouds,-18.5067,-54.76,Hotel Avenida
Armeria,MX,75.2,clear sky,18.9333,-103.9667,Hotel la Herradura
Imbituba,BR,73.4,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
Columbus,US,66.99,scattered clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
Itapecerica,BR,69.39,overcast clouds,-20.4725,-45.1256,Paraíso da Zé
Ranong,TH,75.2,clear sky,9.9658,98.6348,Tinidee Hotel@Ranong
Kadi,IN,75.2,smoke,23.3,72.3333,Ahmedkhan Saheb Ka Sakkarpura
